# iota(4,11) >= 32 ?  the deg(0) = 13 cube, split at --seqprefix 3.
# 27 cubes instead of the full split's 1939: only d_1 and d_2 are fixed,
# the rest of the sequence is left free and merely has to be fillable.
#
# Why the coarser split. The full split makes 1939 sub-cubes and a
# measured sample of thirteen of them landed five UNSAT (136-491 s) with
# eight still running at a 600 s cap -- about 23 sub-cubes an hour on four
# cores, so 84 hours to attempt each once and most still undecided. The
# cube whole is worse: two earlier sessions left it UNKNOWN at 36000 s
# (cadical) and 40407 s (cryptominisat5). 27 is the granularity that
# worked at deg(0) = 12, where 19 sub-cubes finished in 3236 s.
#
# sub-cube	verdict	seconds
g=11 [13, 13, 13]	UNKNOWN	2400.1
g=11 [13, 13, 12]	UNKNOWN	2400.1
g=11 [13, 13, 11]	UNKNOWN	2400.1
g=11 [13, 13, 10]	UNKNOWN	2400.1
#
# VERDICT ON THIS GRANULARITY: TOO COARSE, and the budget is the result.
# All four cubes of the first batch burned the full 2400 s cap without
# landing.  27 cubes at 2400 s is 18 core-hours for nothing, where the
# full split spends the same time deciding real sub-cubes.  Not retried.
#
# The granularity ladder for deg(0) = 13, measured rather than guessed:
#   whole cube (1)      UNKNOWN at 36000 s cadical, 40407 s cryptominisat5
#   --seqprefix 3 (27)  4 of 4 UNKNOWN at 2400 s          <- this file
#   full split (1939)   solved ones land in 136-491 s; about 45% pass 600 s
# The full split is the working granularity.  The cost is not the split,
# it is the total: see iota4_11.deg13.tsv.
#
# WHY THE FOUR ROWS ABOVE ARE THE FOUR THEY ARE, which the "TOO COARSE"
# verdict states without explaining.  Sub-cubes are enumerated
# lexicographically descending, so a budget-limited pass takes them in
# that order, and the first four are [13,13,13], [13,13,12], [13,13,11],
# [13,13,10] -- covering 553, 325, 180 and 94 of the 1939 full sub-cubes,
# i.e. 1152 of them, three fifths of the cube in four pieces, against a
# mean bucket of 1939/27 = 72.  The largest prefix-3 cube alone has to
# decide 553 sub-cubes that cost 136-491 s apiece, so it is ~10^5 s of
# search and no budget in reach touches it.
#
# The cheap end is unreachable in that order: the three prefix-3 cubes
# holding a single full sub-cube each sit at indices 14, 23 and 26.  So
# this granularity does not merely stall, it stalls having banked
# NOTHING, which is the property that makes it useless for a resumable
# second opinion -- and roadmap 50.3 proposed it for exactly that.  See
# roadmap 52.2, and `cargo run --release --example seq_buckets -- 11 4 32 13`
# for the whole distribution.  (27 is the prefix-3 count under either
# setting of all_points_used; the bucket sizes above are the --ladder
# ones, matching this file.)
